`stƒn @anv	ùstƒn	#anv	^3SGI	~stƒt	\$tat.(.)	_IIIú1úV_Hchz-0005{142r,06}.05@	ø	:	³s=s³t=t³a=ƒ³t=t³
`ge-s‰hen @stv5	ùge-s‰hen	#stv5	^3SVI	~ge-sah	\ge(=)$ach	_IIIú1úV_Hchz-0006{142r,06}.01	ø	:	³g=g³e=e³=-³s=s³a=a³ch=h³
`‰r @pron	ù‰r	#pron	^ASm	~in	\in	_IIIú1úV_Hchz-0006{142r,07}.02	ø	:	³i=i³n=n³
`got @m	ùgot	#m	^NS	~got	\got,,	_IIIú1úV_Hchz-0006{142r,07}.03	ø	:	³g=g³o=o³t=t³
`d‰r @pron	ùd‰r	#pron	^NSm+	~d‰r	\d er	_IIIú1úV_Hchz-0006{142r,07}.04	ø	:	³d=d³e=‰³r=r³
`‰r @pron	ù‰r	#pron	^ASn	~‰zz	\ez	_IIIú1úV_Hchz-0006{142r,07}.05	ø	:	³e=‰³z=zz³
`be-gƒn @anv	ùbe-gƒn	#anv	^3SGI	~be-gƒt	\begat.(.)	_IIIú1úV_Hchz-0006{142r,07}.06@	ø	:	³b=b³e=e³=-³g=g³a=ƒ³t=t³
`sw‰r @pron	ùsw‰r	#pron	^NSm	~sw‰r	\<*(S*)>w er	_IIIú1úV_Hchz-0007{142r,07}.01	ø	:	³s=s³w=w³e=‰³r=r³
`d‰r @art	ùd‰r	#art	^APn	~diu	\d iv	_IIIú1úV_Hchz-0007{142r,07}.02	ø	:	³d=d³iv=iu³
`zŠichen @n	ùzŠichen	#n	^AP	~zŠichene	\zeichene	_IIIú1úV_Hchz-0007{142r,07}.03	ø	:	³z=z³ei=Ši³ch=ch³e=e³n=n³e=e³
`wŠllen @anv	ùwŠllen	#anv	^3SGI	~wil<e>	\wil	_IIIú1úV_Hchz-0007{142r,08}.04	ø	:	³w=w³i=i³l=l³=e³
`be-gƒn @anv	ùbe-gƒn	#anv i	^-	~be-gƒn	\began.,,	_IIIú1úV_Hchz-0007{142r,08}.05@	ø	:	³b=b³e=e³=-³g=g³a=ƒ³n=n³
`d‰r @pron	ùd‰r	#pron	^NSm	~d‰r	\d er	_IIIú1úV_Hchz-0008{142r,08}.01	ø	:	³d=d³e=‰³r=r³
`sol(e)n @anv	ùsol(e)n	#anv	^3SGI	~sol	\$ol	_IIIú1úV_Hchz-0008{142r,08}.02	ø	:	³s=s³o=o³l=l³
`guot @adj	ùguot	#adj	^ASm	~guoten	\gu\ot en	_IIIú1úV_Hchz-0008{142r,08}.03	ø	:	³g=g³u\o=uo³t=t³e=e³n=n³
`list @mf	ùlist	#m	^AS	~list	\li$t	_IIIú1úV_Hchz-0008{142r,08}.04	ø	:	³l=l³i=i³s=s³t=t³
`haben @swv-a	ùhaben	#swv-a i	^-	~haben	\haben.,,	_IIIú1úV_Hchz-0008{142r,08}.05@	ø	:	³h=h³a=a³b=b³e=e³n=n³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-s“	\al$o	_IIIú1úV_Hchz-0009{142r,08}.01	ø	:	³a=a³l=ll³=-³s=s³o=“³
