`ge-sch‰hen @stv5	ùge-sch‰hen	#stv5	^3SGI	~ge-schih<e>t	\ge$chiht.(.)	_IIIú0úV_Tris-00004{01ra,03}.06@	ø	:	³g=g³e=e³=-³sch=sch³i=i³h=h³=e³t=t³
`d‰r @art	ùd‰r	#art	^NSm	~d‰r	\D er	_IIIú0úV_Tris-00005{01ra,04}.01	ø	:	³d=d³e=‰³r=r³
`guot @adj	ùguot	#adj	^NSmw	~guote	\go\vt e	_IIIú0úV_Tris-00005{01ra,04}.02	ø	:	³g=g³o\v=uo³t=t³e=e³
`mann @m	ùmann	#m	^NS	~mann	\man,,	_IIIú0úV_Tris-00005{01ra,04}.03	ø	:	³m=m³a=a³n=nn³
`sw‰r @pron	ùsw‰r	#pron	^NSn	~swazz	\$w az	_IIIú0úV_Tris-00005{01ra,04}.04	ø	:	³s=s³w=w³a=a³z=zz³
`d‰r @pron	ùd‰r	#pron	^NSm	~d‰r	\d er	_IIIú0úV_Tris-00005{01ra,04}.05	ø	:	³d=d³e=‰³r=r³
`in @pr„p	ùin	#pr„p	^	~in	\in	_IIIú0úV_Tris-00005{01ra,04}.06	ø	:	³i=i³n=n³
`guot @n	ùguot	#n	^DS	~guot<e>	\go\vt.	_IIIú0úV_Tris-00005{01ra,04}.07@	ø	:	³g=g³o\v=uo³t=t³=e³
`unte @konj	ùunte	#konj	^	~unte	\Vnde	_IIIú0úV_Tris-00006{01ra,05}.01	ø	:	³v=u³n=n³d=t³e=e³
`niuwan @adv/konj	ùniuwan	#adv	^	~niuwan	\ni\vwan	_IIIú0úV_Tris-00006{01ra,05}.02	ø	:	³n=n³i\v=iu³w=w³a=a³n=n³
`d‰r @art	ùd‰r	#art	^DSf	~d‰r	\d_ er	_IIIú0úV_Tris-00006{01ra,05}.03	ø	:	³d=d³e=‰³r=r³
`w‰r(e)lt @f	ùw‰r(e)lt	#f	^DS	~w‰r<e>lte	\werlde	_IIIú0úV_Tris-00006{01ra,05}.04	ø	:	³w=w³e=‰³r=r³=e³l=l³d=t³e=e³
`in @pr„p	ùin	#pr„p	^	~in	\in	_IIIú0úV_Tris-00006{01ra,05}.05	ø	:	³i=i³n=n³
`guot @n	ùguot	#n	^DS	~guote	\go\vte	_IIIú0úV_Tris-00006{01ra,05}.06	ø	:	³g=g³o\v=uo³t=t³e=e³
`tuon @anv	ùtuon	#anv	^3SGI	~tuot	\to\vt.,,	_IIIú0úV_Tris-00006{01ra,05}.07@	ø	:	³t=t³o\v=uo³t=t³
`sw‰r @pron	ùsw‰r	#pron	^NSm	~sw‰r	\Sw er	_IIIú0úV_Tris-00007{01ra,06}.01	ø	:	³s=s³w=w³e=‰³r=r³
`d‰r @pron	ùd‰r	#pron	^ASn	~dazz	\d az	_IIIú0úV_Tris-00007{01ra,06}.02	ø	:	³d=d³a=a³z=zz³
`iht @adv	ùiht	#adv	^	~iht	\iht	_IIIú0úV_Tris-00007{01ra,06}.03	ø	:	³i=i³h=h³t=t³
`ander(e)s @adv	ùander(e)s	#adv	^	~ander<e>s	\ander$	_IIIú0úV_Tris-00007{01ra,06}.04	ø	:	³a=a³n=n³d=d³e=e³r=r³=e³s=s³
`wan @partikel	ùwan	#partikel	^	~wan	\wan	_IIIú0úV_Tris-00007{01ra,06}.05	ø	:	³w=w³a=a³n=n³
`in @pr„p	ùin	#pr„p	^	~in	\in	_IIIú0úV_Tris-00007{01ra,06}.06	ø	:	³i=i³n=n³
`guot @n	ùguot	#n	^DS	~guot<e>	\go\vt.	_IIIú0úV_Tris-00007{01ra,06}.07@	ø	:	³g=g³o\v=uo³t=t³=e³
