`haben @swv-a	ùhaben	#swv-a	^3PGI	~habent	\hƒbent	_IIIú1úP_PrMi-014v,12{427}.13@	ø	:	³h=h³ƒ=a³b=b³e=e³n=n³t=t³
`ir(e) @pron_poss	ùir(e)	#pron_poss	^0ASmn	~ir<e>	\¡r	_IIIú1úP_PrMi-014v,13{427}.01	ø	:	³i=i³r=r³=e³
`l“n @mn<(u)>	ùl“n	#mn<(u)>	^AS	~l“n	\l“n	_IIIú1úP_PrMi-014v,13{427}.02	ø	:	³l=l³“=“³n=n³
`ent-vƒhen @stv7	ùent-vƒhen	#stv7 pV	^-	~en<t>-vangen	\enphangen .,,	_IIIú1úP_PrMi-014v,13{427}.03	ø	:	³e=e³n=n³=t³=-³ph=v³a=a³n=n³g=g³e=e³n=n³
`dazz @konj	ùdazz	#konj	^	~dazz	\Daz	_IIIú1úP_PrMi-014v,13{427}.04	ø	:	³d=d³a=a³z=zz³
`wir @pron	ùwir	#pron	^NP	~wir	\w¡r	_IIIú1úP_PrMi-014v,13{427}.05	ø	:	³w=w³i=i³r=r³
`wir @pron	ùwir	#pron	^AP©	~uns	\vns	_IIIú1úP_PrMi-014v,13{427}.06	ø	:	³v=u³n=n³s=s³
`be-war(e)n @swv	ùbe-war(e)n	#swv i	^-	~be-war<e>n	\bewarn	_IIIú1úP_PrMi-014v,13{427}.07	ø	:	³b=b³e=e³=-³w=w³a=a³r=r³=e³n=n³
`sol(e)n @anv	ùsol(e)n	#anv	^1PG	~sul<e>n	\$vln	_IIIú1úP_PrMi-014v,13{427}.08	ø	:	³s=s³v=u³l=l³=e³n=n³
`ze @pr„p	ùze	#pr„p	^	~z<e>	\z|	_IIIú1úP_PrMi-014v,13{427}.09	ø	:	³z=z³=e³
`all @pron	ùall	#pron	^DP	~allen	\|all en	_IIIú1úP_PrMi-014v,13{427}.10	ø	:	³a=a³ll=ll³e=e³n=n³
`zŒt @fn	ùzŒt	#fn	^DP	~zŒten	\z¡ten.	_IIIú1úP_PrMi-014v,13{427}.11	ø	:	³z=z³i=Œ³t=t³e=e³n=n³
`vor(e) @pr„p	ùvor(e)	#pr„p	^	~vor<e>	\vor	_IIIú1úP_PrMi-014v,13{427}.12@	ø	:	³v=v³o=o³r=r³=e³
`d‰r @art	ùd‰r	#art	^DSm	~d‰me	\d ˆme	_IIIú1úP_PrMi-014v,14{427}.01	ø	:	³d=d³ˆ=‰³m=m³e=e³
`lŠidig @adj	ùlŠidig	#adj	^DSm!	~lŠidigem	\leŒd¡g em	_IIIú1úP_PrMi-014v,14{427}.02	ø	:/^[nach {deme}]	³l=l³eŒ=Ši³d=d³i=i³g=g³e=e³m=m³
`vŒent @m	ùvŒent	#m	^DS	~vŒante	\v¡ente.(.)	_IIIú1úP_PrMi-014v,14{427}.03	ø	:	³v=v³i=Œ³e=a³n=n³t=t³e=e³
`d‰r @pron	ùd‰r	#pron	^GSn	~d‰s	\d e$	_IIIú1úP_PrMi-014v,14{427}.04	ø	:	³d=d³e=‰³s=s³
`g‰ben @stv5	ùg‰ben	#stv5	^3SGI	~gŒ{ibe}t	\gŒt	_IIIú1úP_PrMi-014v,14{427}.05	ø	:	³g=g³Œ=Œ{ibe}³t=t³
`wir @pron	ùwir	#pron	^DP	~uns	\vn$	_IIIú1úP_PrMi-014v,14{427}.06	ø	:	³v=u³n=n³s=s³
