`hˆrre @m	ùhˆrre	#m	^NS	~hˆrre	\herre	_Vú3úP_NikP-37ra,06{261}.01	ø	:	³h=h³e=ˆ³rr=rr³e=e³
`sŒn @pron_poss	ùsŒn	#pron_poss	^APm	~sŒne	\$¡n e	_Vú3úP_NikP-37ra,06{261}.02	ø	:	³s=s³i=Œ³n=n³e=e³
`zwŠl(i)v @num	ùzwŠl(i)v	#num	^0APm	~zwŠl<i>f	\zwelf	_Vú3úP_NikP-37ra,06{261}.03	ø	:	³z=z³w=w³e=Š³l=l³=i³f=f³
`jung @adj	ùjung	#adj comp	^APw%	~junger<e>n	\iung' n	_Vú3úP_NikP-37ra,06{261}.04@	ø	:	³i=j³u=u³n=n³g=g³'=er³=e³n=n³
`hŠime-lŒche @adv	ùhŠime-lŒche	#adv	^	~hŠim<e>-lŒch<e>	\he¡mlich	_Vú3úP_NikP-37ra,07{261}.01	ø	:	³h=h³ei=Ši³m=m³=e³=-³l=l³i=Œ³ch=ch³=e³
`ze @pr„p	ùze	#pr„p	^	~zuo	\zv\o	_Vú3úP_NikP-37ra,07{261}.02	ø	:	³z=z³v\o=uo³
`‰r @pron	ù‰r	#pron	^DSm©	~im<e>	\¡m	_Vú3úP_NikP-37ra,07{261}.03	ø	:	³i=i³m=m³=e³
`n‰men @stv4	ùn‰men	#stv4	^3SVI	~nam	\nam.	_Vú3úP_NikP-37ra,07{261}.04	ø	:	³n=n³a=a³m=m³
`unte @konj	ùunte	#konj	^	~unt<e>	\vnd	_Vú3úP_NikP-37ra,07{261}.05@	ø	:	³v=u³n=n³d=t³=e³
`spr‰chen @stv4	ùspr‰chen	#stv4	^3SVI	~sprach	\$prach.(:)	_Vú3úP_NikP-37ra,08{261}.01	ø	:	³s=s³p=p³r=r³a=a³ch=ch³
`wir @pron	ùwir	#pron	^NP	~wir	\"Wir	_Vú3úP_NikP-37ra,08{261}.02	ø	:	³w=w³i=i³r=r³
`gƒn @anv	ùgƒn/–f<+	#anv	^1PGI	~gangen	\gangen*2	_Vú3úP_NikP-37ra,08{261}.03	ø	:	³g=g³a=a³n=n³g=g³e=e³n=n³
`–f @adv	ù–f/<+gƒn	#adv	^	~–f	\vf*1	_Vú3úP_NikP-37ra,08{261}.04	ø	:	³v=–³f=f³
`ze @pr„p	ùze	#pr„p	^	~ze	\ze	_Vú3úP_NikP-37ra,08{261}.05@	ø	:	³z=z³e=e³
`Jerusalˆm @ON	ùJerusalˆm	#ON	^DS	~Jerusalˆm	\ieru$alem.(!)	_Vú3úP_NikP-37ra,09{261}.01	ø	:	*³i=j³e=e³r=r³u=u³s=s³a=a³l=l³e=ˆ³m=m³
`dƒr @adv	ùdƒr	#adv	^	~dƒ	\da	_Vú3úP_NikP-37ra,09{261}.02	ø	:	³d=d³a=ƒ³
`sol(e)n @anv	ùsol(e)n	#anv	^3SGI	~sol	\$ol	_Vú3úP_NikP-37ra,09{261}.03	ø	:	³s=s³o=o³l=l³
`d‰r @art	ùd‰r	#art	^GSmn	~d‰s	\d es	_Vú3úP_NikP-37ra,09{261}.04	ø	:	³d=d³e=‰³s=s³
