`er-vr”uwen @swv	ùer-vr”uwen	#swv i	^-	~er-vr”uwen	\er#frowen.,,	_IIú4úV_ArnM-004{130v,07}.08@	ø	:	³e=e³r=r³=-³f=v³r=r³o=”u³w=w³e=e³n=n³
`d‰r @pron	ùd‰r	#pron	^NSn+	~dazz	\d az	_IIú4úV_ArnM-005{130v,07}.01	ø	:	³d=d³a=a³z=zz³
`ze @pr„p	ùze	#pr„p	^	~ze	\ce	_IIú4úV_ArnM-005{130v,07}.02	ø	:	³c=z³e=e³
`stoŠren @swv	ùstoŠren	#swv i	^DS	~stoŠrenne	\$torene	_IIú4úV_ArnM-005{130v,07}.03	ø	:	³s=s³t=t³o=oŠ³r=r³e=e³n=nn³e=e³
`komen @stv4	ùkomen	#stv4	^3SVI	~quam	\qu\-a	_IIú4úV_ArnM-005{130v,08}.04	ø	:	³qu=qu³\-a=am³
`unser @pron_poss	ùunser	#pron_poss	^ASm	~unsen	\un$ en	_IIú4úV_ArnM-005{130v,08}.05	ø	:	³u=u³n=n³s=s³e=e³n=n³
`riuwe @mf	ùriuwe	#m	^AS	~riuwen	\ruwen.,,	_IIú4úV_ArnM-005{130v,08}.06@	ø	:	³r=r³u=iu³w=w³e=e³n=n³
`ƒne @pr„p	ùƒne	#pr„p	^	~ƒn<e>	\an	_IIú4úV_ArnM-006{130v,08}.01	ø	:	³a=ƒ³n=n³=e³
`all @pron	ùall	#pron	^GPf	~aller	\all er|	_IIú4úV_ArnM-006{130v,08}.02	ø	:	³a=a³ll=ll³e=e³r=r³
`slahte @f	ùslahte	#f	^GP	~slahte	\|$laht[e]	_IIú4úV_ArnM-006{130v,08}.03	ø	:	³s=s³l=l³a=a³h=h³t=t³[e]=e³
`sˆr @mn	ùsˆr	#mn	^AS	~sˆr	\[$]<er>	_IIú4úV_ArnM-006{130v,08}.04	ø	:	³[s]=s³e=ˆ³r=r³
`‰r @pron	ù‰r	#pron	^NSn	~izz	\iz	_IIú4úV_ArnM-006{130v,08}.05	ø	:	³i=i³z=zz³
`von @pr„p	ùvon	#pr„p	^	~van	\uan	_IIú4úV_ArnM-006{130v,09}.06	ø	:	³u=v³a=a³n=n³
`d– @pron	ùd–	#pron	^DS	~dir	\dir	_IIú4úV_ArnM-006{130v,09}.07	ø	:	³d=d³i=i³r=r³
`komen @stv4	ùkomen	#stv4	^3SVI	~quam	\qu\-a.,,	_IIú4úV_ArnM-006{130v,09}.08@	ø	:	³qu=qu³\-a=am³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-s	\al$|	_IIú4úV_ArnM-007{130v,09}.01	ø	:	³a=a³l=ll³=-³s=s³
`‰r @pron	ù‰r	#pron	^NSn	~izz	\|iz	_IIú4úV_ArnM-007{130v,09}.02	ø	:	³i=i³z=zz³
`got @m	ùgot	#m	^GS	~gotes	\gode$	_IIú4úV_ArnM-007{130v,09}.03	ø	:/E[gode$: {godes} Maurer]	³g=g³o=o³d=t³e=e³s=s³
`kind @n	ùkind	#n	^DS	~kinde	\kinde	_IIú4úV_ArnM-007{130v,09}.04	ø	:	³k=k³i=i³n=n³d=d³e=e³
