`l‰sen @stv5	ùl‰sen	#stv5	^1SVI	~las	\la$.,,	_IIIú3úV_TriF-10616{m-1ra,03}.05@	ø	:	³l=l³a=a³s=s³
`s“ @adv/konj	ùs“	#adv	^	~s“	\$“|	_IIIú3úV_TriF-10617{m-1ra,04}.01	ø	:	³s=s³“=“³
`ne @partikel	ùne	#partikel	^	~ne	\|ne	_IIIú3úV_TriF-10617{m-1ra,04}.02	ø	:	³n=n³e=e³
`w‰sen @stv5	ùw‰sen	#stv5	^3SVI	~was	\waz	_IIIú3úV_TriF-10617{m-1ra,04}.03	ø	:	³w=w³a=a³z=s³
`iŠ @adv	ùiŠ	#adv	^	~iŠ	\ie	_IIIú3úV_TriF-10617{m-1ra,04}.04	ø	:	³ie=iŠ³
`niŠ @adv	ùniŠ	#adv	^	~niŠ	\ni	_IIIú3úV_TriF-10617{m-1ra,04}.05	ø	:	³n=n³i=iŠ³
`mˆr(e) @adj comp	ùmˆr(e)	#adj comp	^0NSn%	~mˆ<r>	\mˆ 	_IIIú3úV_TriF-10617{m-1ra,04}.06	ø	:	³m=m³ˆ=ˆ³=r³
`dƒr @adv	ùdƒr/+ane	#adv	^	~dƒr	\dar	_IIIú3úV_TriF-10617{m-1ra,04}.07	ø	:	³d=d³a=ƒ³r=r³
`ane @adv	ùane/dƒr+	#adv	^	~an<e>	\an.	_IIIú3úV_TriF-10617{m-1ra,04}.08@	ø	:	³a=a³n=n³=e³
`wan @partikel	ùwan	#partikel	^	~wan	\wan	_IIIú3úV_TriF-10618{m-1ra,05}.01	ø	:	³w=w³a=a³n=n³
`[!] @[!]	ùTantris	#PN	^NS	~Tantris	\tant%%i$	_IIIú3úV_TriF-10618{m-1ra,05}.02	ø	:	*³t=t³a=a³n=n³t=t³%%=r³i=i³s=s³
`oder @konj	ùoder	#konj	^	~oder	\od'	_IIIú3úV_TriF-10618{m-1ra,05}.03	ø	:	³o=o³d=d³'=er³
`Tristan @PN	ùTristan	#PN	^NS	~Tristan	\t%%i$tan.	_IIIú3úV_TriF-10618{m-1ra,05}.04@	ø	:	*³t=t³%%=r³i=i³s=s³t=t³a=a³n=n³
`unte @konj	ùunte	#konj	^	~unte	\vn\-	_IIIú3úV_TriF-10619{m-1ra,06}.01	ø	:	³v=u³n\-=nte³
`iŠ @adv	ùiŠ	#adv	^	~iŠ	\ie	_IIIú3úV_TriF-10619{m-1ra,06}.02	ø	:	³ie=iŠ³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_IIIú3úV_TriF-10619{m-1ra,06}.03	ø	:	³a=a³n=n³=e³
`Šin @num	ùŠin	#num	^DSm%	~Šinem	\ein em	_IIIú3úV_TriF-10619{m-1ra,06}.04	ø	:	³ei=Ši³n=n³e=e³m=m³
`bŠide @num	ùbŠide	#num	^NPm%	~bŠide	\beid e.(.)	_IIIú3úV_TriF-10619{m-1ra,06}.05@	ø	:	³b=b³ei=Ši³d=d³e=e³
`n– @adv/konj	ùn–	#adv	^	~n–	\Nv,,	_IIIú3úV_TriF-10620{m-1ra,07}.01	ø	:	³n=n³v=–³
`muoter @f<(u)>	ùmuoter	#f<(u)>	^NS	~muoter	\mv\oter,,	_IIIú3úV_TriF-10620{m-1ra,07}.02	ø	:	³m=m³v\o=uo³t=t³e=e³r=r³
`n– @adv/konj	ùn–	#adv	^	~n–	\nv	_IIIú3úV_TriF-10620{m-1ra,07}.03	ø	:	³n=n³v=–³
