`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t,,)	_IIú1úP_Wind-001,00{09r,04}.20	ø	:	³i=i³s=s³t=t³
`niht @n	ùniht	#n	^NS	~nih<t>	\nih|	_IIú1úP_Wind-001,00{09r,05}.21	ø	:	³n=n³i=i³h=h³=t³
`ne @partikel	ùne	#partikel	^	~ne	\|ne	_IIú1úP_Wind-001,00{09r,05}.22	ø	:	³n=n³e=e³
`sol(e)n @anv	ùsol(e)n	#anv	^3SV(K)	~solte	\$olte	_IIú1úP_Wind-001,00{09r,05}.23	ø	:	³s=s³o=o³l=l³t=t³e=e³
`vr(e) @adv	ùvr(e)/>+sŠtzen	#adv	^	~vr(e)	\fure*1	_IIú1úP_Wind-001,00{09r,05}.24	ø	:	³f=v³u=³r=r³e=e³
`sŠtzen @swv	ùsŠtzen/vr(e)>+	#swv pV	^-	~ge-sŠtzet	\ge$ezcit *2|	_IIú1úP_Wind-001,00{09r,05}.25	ø	:	³g=g³e=e³=-³s=s³e=Š³zc=tz³i=e³t=t³
`w‰rden @stv3b	ùw‰rden	#stv3b i	^-	~w‰rden	\|werden%.,,	_IIú1úP_Wind-001,00{09r,05}.26	ø	:	³w=w³e=‰³r=r³d=d³e=e³n=n³
`s“~lange @konj	ùs“~lange	#konj	^	~s“~lang<e>	\$o~lanch	_IIú1úP_Wind-001,00{09r,05}.27	ø	:	³s=s³o=“³~=~³l=l³a=a³n=n³ch=g³=e³
`‰r @pron	ù‰r	#pron	^ASm	~in	\in|	_IIú1úP_Wind-001,00{09r,12b}.28	ø	:/^[AS bedingt durch AcI im Latein.]	³i=i³n=n³
`s‰lb @pron	ùs‰lb	#pron	^ASm%&	~s‰lben	\|$elb en	_IIú1úP_Wind-001,00{09r,12b}.29	ø	:/^[AS bedingt durch AcI im Latein.]	³s=s³e=‰³l=l³b=b³e=e³n=n³
`ding @n	ùding	#n	^GP	~dinge	\dinge	_IIú1úP_Wind-001,00{09r,12b}.30	ø	:	³d=d³i=i³n=n³g=g³e=e³
`all @pron	ùall	#pron	^GPnø	~aller(e)	\all ere	_IIú1úP_Wind-001,00{09r,12b}.31	ø	:	³a=a³ll=ll³e=e³r=r³e=e³
`ge-stƒn @anv	ùge-stƒn	#anv	^3SGK	~ge-stˆ	\ge$te	_IIú1úP_Wind-001,00{09v,06b}.32	ø	:	³g=g³e=e³=-³s=s³t=t³e=ˆ³
`w‰sen @stv5	ùw‰sen	#stv5 i	^-	~w‰sen	\we$en	_IIú1úP_Wind-001,00{09v,06b}.33	ø	:	³w=w³e=‰³s=s³e=e³n=n³
`Šin @art	ùŠin	#art	^0NSn	~Šin	\ein	_IIú1úP_Wind-001,00{09v,06b}.34	ø	:	³ei=Ši³n=n³
`ane-gŠnge @fn	ùane-gŠnge	#n	^NS	~ane-gŠnge	\anegenge%.(.)	_IIú1úP_Wind-001,00{09v,06b}.35@	ø	:	³a=a³n=n³e=e³=-³g=g³e=Š³n=n³g=g³e=e³
`Šin @art	ùŠin	#art	^0NSm	~Šin	\ein	_IIú1úP_Wind-001,01{09r,06}.01	ø	:	³ei=Ši³n=n³
`s‘lig @adj	ùs‘lig	#adj	^NSm	~s‘liger	\$alig er	_IIú1úP_Wind-001,01{09r,06}.02	ø	:	³s=s³a=‘³l=l³i=i³g=g³e=e³r=r³
