`drŒ @num	ùdrŒ	#num	^APn	~driu	\Dr¡v	_IVú1úV_Diet-02328e{63ra,05}.01	ø	:	³d=d³r=r³iv=iu³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\iar	_IVú1úV_Diet-02328e{63ra,05}.02	ø	:	³i=j³a=ƒ³r=r³
`unte @konj	ùunte	#konj	^	~unt<e>	\vnt	_IVú1úV_Diet-02328e{63ra,05}.03	ø	:	³v=u³n=n³t=t³=e³
`vnv @num	ùvnv	#num	^0APn	~vnf	\vunf	_IVú1úV_Diet-02328e{63ra,05}.04	ø	:	³v=v³u=³n=n³f=f³
`hundert @n	ùhundert	#n	^AP	~hundert	\hvndert	_IVú1úV_Diet-02328e{63ra,05}.05	ø	:	³h=h³v=u³n=n³d=d³e=e³r=r³t=t³
`jƒr @n	ùjƒr	#n	^GP	~jƒr<e>	\iar,,	_IVú1úV_Diet-02328e{63ra,05}.06@	ø	:	³i=j³a=ƒ³r=r³=e³
`d‰r @pron	ùd‰r	#pron	^ASn+	~dazz	\d az	_IVú1úV_Diet-02328f{63ra,06}.01	ø	:	³d=d³a=a³z=z³
`ich @pron	ùich	#pron	^NS	~ich	\ich	_IVú1úV_Diet-02328f{63ra,06}.02	ø	:	³i=i³ch=ch³
`ir @pron	ùir	#pron	^DP	~iu	\iv	_IVú1úV_Diet-02328f{63ra,06}.03	ø	:	³iv=iu³
`sagen @swv-a	ùsagen	#swv-a	^1SG	~sage	\$age,,	_IVú1úV_Diet-02328f{63ra,06}.04	ø	:	³s=s³a=a³g=g³e=e³
`d‰r @pron	ùd‰r	#pron	^NSn	~dazz	\d az	_IVú1úV_Diet-02328f{63ra,06}.05	ø	:	³d=d³a=a³z=zz³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_IVú1úV_Diet-02328f{63ra,06}.06	ø	:	³i=i³s=s³t=t³
`wƒr @adj	ùwƒr	#adj	^-	~wƒr	\war ,,	_IVú1úV_Diet-02328f{63ra,06}.07@	ø	:	³w=w³a=ƒ³r=r³
`d“ @adv/konj	ùd“	#adv	^	~d“	\Do	_IVú1úV_Diet-02328g{63ra,07}.01	ø	:	³d=d³o=“³
`st‰rben @stv3b	ùst‰rben	#stv3b	^3SVI	~starb	\$tarp	_IVú1úV_Diet-02328g{63ra,07}.02	ø	:	³s=s³t=t³a=a³r=r³p=b³
`d‰r @art	ùd‰r	#art	^NSm	~d‰r	\d er	_IVú1úV_Diet-02328g{63ra,07}.03	ø	:	³d=d³e=‰³r=r³
`Šllent-haft @adj	ùŠllent-haft	#adj	^NSmw	~Šllent-hafte	\ellenthaft e	_IVú1úV_Diet-02328g{63ra,07}.04	ø	:	³e=Š³ll=ll³e=e³n=n³t=t³=-³h=h³a=a³f=f³t=t³e=e³
`mann @m	ùmann	#m	^NS	~mann	\man.(.)	_IVú1úV_Diet-02328g{63ra,07}.05@	ø	:	³m=m³a=a³n=nn³
`n– @adv/konj	ùn–	#adv	^	~n–	\nv	_IVú1úV_Diet-02328h{63ra,08}.01	ø	:	³n=n³v=–³
`hoŠren @swv	ùhoŠren	#swv	^2PGB	~hoŠret	\ho_eret,,	_IVú1úV_Diet-02328h{63ra,08}.02	ø	:	³h=h³o_e=oŠ³r=r³e=e³t=t³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-s	\als	_IVú1úV_Diet-02328h{63ra,08}.03	ø	:	³a=a³l=ll³=-³s=s³
