`d‰r @art	ùd‰r	#art	^DSn	~d‰me	\d eme	_Vú4búP_Hleb-004r,16{006,04}.03	ø	:/R	³d=d³e=‰³m=m³e=e³
`ˆr(e)st @adj sup	ùˆr(e)st	#adj sup	^DSnw%	~ˆr<e>sten	\er$t en	_Vú4búP_Hleb-004r,16{006,04}.04	ø	:/R	³e=ˆ³r=r³=e³s=s³t=t³e=e³n=n³
`von @pr„p	ùvon	#pr„p	^	~von	\von	_Vú4búP_Hleb-004r,16{006,04}.05	ø	:/R	³v=v³o=o³n=n³
`sancte @adj	ùsancte	#adj	^0	~san<c>te	\$ent e 	_Vú4búP_Hleb-004r,16{006,04}.06@	ø	:/R	³s=s³e=a³n=n³=c³t=t³e=e³
`Andreas* @PN	ùAndreas*	#PN	^DS	~Andreas	\andreas,	_Vú4búP_Hleb-004r,17{006,04}.01	ø	:/R	*³a=a³n=n³d=d³r=r³e=e³a=a³s=s³
`d‰r @art	ùd‰r	#art	^GSm	~d‰s	\d es	_Vú4búP_Hleb-004r,17{006,04}.02	ø	:/R	³d=d³e=‰³s=s³
`hŠilig @adj	ùhŠilig	#adj	^GSmw	~hŠilige<n>	\heilig e	_Vú4búP_Hleb-004r,17{006,04}.03	ø	:/^[!]/R	³h=h³ei=Ši³l=l³i=i³g=g³e=e³=n³
`apostel(e) @m	ùapostel(e)	#m	^GS	~apost‚l(e)n	\apo$tolen.(:)	_Vú4búP_Hleb-004r,17{006,05}.04@	ø	:/R	³a=a³p=p³o=o³s=s³t=t³o=‚³l=l³e=e³n=n³
`man @pron_subst	ùman	#pron_subst	^NS	~man	\*{M*}an	_Vú4búP_Hleb-004r,18{006,06}.01	ø	:/K[*{M*}an: {M} Zierinitiale]	³m=m³a=a³n=n³
`be-gƒn @anv	ùbe-gƒn	#anv	^3SGI	~be-gˆt	\beget	_Vú4búP_Hleb-004r,18{006,06}.02	ø	:	³b=b³e=e³=-³g=g³e=ˆ³t=t³
`hiute @adv	ùhiute	#adv	^	~hiute	\hute	_Vú4búP_Hleb-004r,18{006,06}.03	ø	:	³h=h³u=iu³t=t³e=e³
`d‰r @art	ùd‰r	#art	^ASm	~d‰n	\d en	_Vú4búP_Hleb-004r,18{006,06}.04	ø	:	³d=d³e=‰³n=n³
`tag @m	ùtag	#m	^AS	~tag	\tag	_Vú4búP_Hleb-004r,18{006,06}.05	ø	:	³t=t³a=a³g=g³
`d‰r @art	ùd‰r	#art	^GSm	~d‰s	\d es	_Vú4búP_Hleb-004r,18{006,06}.06@	ø	:	³d=d³e=‰³s=s³
`gr“z @adj	ùgr“z	#adj	^GSmw	~gr“zen	\grozz en	_Vú4búP_Hleb-004r,19{006,06}.01	ø	:	³g=g³r=r³o=“³zz=z³e=e³n=n³
`apostel(e) @m	ùapostel(e)	#m	^GS	~apost‚l(e)n	\apo$tolen	_Vú4búP_Hleb-004r,19{006,06}.02	ø	:	³a=a³p=p³o=o³s=s³t=t³o=‚³l=l³e=e³n=n³
`sancte @adj	ùsancte	#adj	^0	~san<c>te	\$ent e 	_Vú4búP_Hleb-004r,19{006,06}.03@	ø	:	³s=s³e=a³n=n³=c³t=t³e=e³
`Andreas* @PN	ùAndreas*	#PN	^GS	~Andreas	\andreas.(.)	_Vú4búP_Hleb-004r,20{006,06}.01	ø	:	*³a=a³n=n³d=d³r=r³e=e³a=a³s=s³
