`lˆren @swv	ùlˆren	#swv	^3PGI	~lˆrent	\lerent	_Vú4búV_Elis-00003{001r,04}.03	ø	:	³l=l³e=ˆ³r=r³e=e³n=n³t=t³
`Šin @art	ùŠin	#art	^ASm	~Šinen	\ein en	_Vú4búV_Elis-00003{001r,04}.04	ø	:	³ei=Ši³n=n³e=e³n=n³
`mann @m	ùmann	#m	^AS	~mann	\man.,,	_Vú4búV_Elis-00003{001r,04}.05@	ø	:	³m=m³a=a³n=nn³
`d‰r @pron	ùd‰r	#pron	^NSm+	~d‰r	\D er	_Vú4búV_Elis-00004{001r,05}.01	ø	:	³d=d³e=‰³r=r³
`sich @pron	ùsich	#pron	^A	~sich	\$ich	_Vú4búV_Elis-00004{001r,05}.02	ø	:	³s=s³i=i³ch=ch³
`dƒr @adv	ùdƒr/+bŒ	#adv	^	~dƒ	\da	_Vú4búV_Elis-00004{001r,05}.03	ø	:	³d=d³a=ƒ³
`bŒ @adv	ùbŒ/dƒr+	#adv	^	~bŒ	\bi	_Vú4búV_Elis-00004{001r,05}.04	ø	:	³b=b³i=Œ³
`ge-ziŠhen @stv2b	ùge-ziŠhen	#stv2b i	^-	~ge-ziŠhen	\geziehen	_Vú4búV_Elis-00004{001r,05}.05	ø	:	³g=g³e=e³=-³z=z³ie=iŠ³h=h³e=e³n=n³
`kunnen @anv	ùkunnen	#anv	^3SGI	~kan	\kan.,,	_Vú4búV_Elis-00004{001r,05}.06@	ø	:	³k=k³a=a³n=n³
`dazz @konj	ùdazz	#konj	^	~dazz	\Daz	_Vú4búV_Elis-00005{001r,06}.01	ø	:	³d=d³a=a³z=zz³
`‰r @pron	ù‰r	#pron	^NSm	~‰r	\er	_Vú4búV_Elis-00005{001r,06}.02	ø	:	³e=‰³r=r³
`ge-winnen @stv3a	ùge-winnen	#stv3a	^3SGI	~ge-winnet	\gewinnet	_Vú4búV_Elis-00005{001r,06}.03	ø	:	³g=g³e=e³=-³w=w³i=i³nn=nn³e=e³t=t³
`rŠin(e) @adj	ùrŠin(e)	#adj	^ASm	~rŠinen	\rei[n] e n	_Vú4búV_Elis-00005{001r,06}.04	ø	:	³r=r³ei=Ši³[n]=n³e=e³n=n³
`muot @mn<(u)>	ùmuot	#m<(u)>	^AS	~muot	\mv\ot.	_Vú4búV_Elis-00005{001r,06}.05@	ø	:	³m=m³v\o=uo³t=t³
`unte @konj	ùunte	#konj	^	~unte	\Vnde	_Vú4búV_Elis-00006{001r,07}.01	ø	:	³v=u³n=n³d=t³e=e³
`iŠmer @adv	ùiŠmer	#adv	^	~iŠmer	\vmmer	_Vú4búV_Elis-00006{001r,07}.02	ø	:	³v=iŠ³mm=m³e=e³r=r³
`tugend-lŒche @adv	ùtugend-lŒche	#adv	^	~tugend-lŒche	\dugentliche	_Vú4búV_Elis-00006{001r,07}.03	ø	:	³d=t³u=u³g=g³e=e³n=n³t=d³=-³l=l³i=Œ³ch=ch³e=e³
`tuon @anv	ùtuon	#anv	^3SGI	~tuot	\du\et.(.)	_Vú4búV_Elis-00006{001r,07}.04@	ø	:	³d=t³u\e=uo³t=t³
`d‰r @pron	ùd‰r	#pron	^GSn	~d‰s	\D es	_Vú4búV_Elis-00007{001r,08}.01	ø	:	³d=d³e=‰³s=s³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_Vú4búV_Elis-00007{001r,08}.02	ø	:	³i=i³s=s³t=t³
`Šin @art	ùŠin	#art	^0NSm	~Šin	\ein	_Vú4búV_Elis-00007{001r,08}.03	ø	:	³ei=Ši³n=n³
