`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_IVú1úP_Bart-01ra,04{127}.04	ø	:	³i=i³s=s³t=t³
`hiŠr @adv	ùhiŠr	#adv	^	~hiŠ<r>	\hie	_IVú1úP_Bart-01ra,04{127}.05	ø	:	³h=h³ie=iŠ³=r³
`diut(i)sche @adv	ùdiut(i)sche	#adv	^	~diut<i>sche	\<t¡>[ud](=)$che	_IVú1úP_Bart-01ra,04{127}.06@	ø	:	³t=d³i[u]=iu³[d]=t³=i³sch=sch³e=e³
`tihten @swv	ùtihten	#swv pV	^-	~ge-tihtet	\getihtet .	_IVú1úP_Bart-01ra,05{127}.01	ø	:	³g=g³e=e³=-³t=t³i=i³h=h³t=t³e=e³t=t³
`mit @pr„p	ùmit	#pr„p	^	~mit	\Mit	_IVú1úP_Bart-01ra,05{127}.02	ø	:	³m=m³i=i³t=t³
`d‰r @art	ùd‰r	#art	^DP	~d‰n	\d en	_IVú1úP_Bart-01ra,05{127}.03	ø	:	³d=d³e=‰³n=n³
`s‰lb @pron	ùs‰lb	#pron	^DP	~s‰lben	\$elb <en>	_IVú1úP_Bart-01ra,05{127}.04	ø	:	³s=s³e=‰³l=l³b=b³e=e³n=n³
`wort @n	ùwort	#n	^DP	~worten	\[w](=)orten.,,	_IVú1úP_Bart-01ra,05{127}.05@	ø	:	³[w]=w³o=o³r=r³t=t³e=e³n=n³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-s“	\<a>l$<o>	_IVú1úP_Bart-01ra,06{127}.01	ø	:	³a=a³l=ll³=-³s=s³o=“³
`‰r @pron	ù‰r	#pron	^ASn	~‰zz	\ez	_IVú1úP_Bart-01ra,06{127}.02	ø	:	³e=‰³z=zz³
`Bartholomeus* @PN	ùBartholomeus	#PN	^NS	~Bartholomeus	\Bartholome%9	_IVú1úP_Bart-01ra,06{127}.03	ø	:	*³Bartholome%9=Bartholomeus³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\<an>	_IVú1úP_Bart-01ra,06{127}.04	ø	:	³a=a³n=n³=e³
`sŒn @pron_poss	ùsŒn	#pron_poss	^0ASn	~sŒn	\$¡n	_IVú1úP_Bart-01ra,06{127}.05@	ø	:	³s=s³i=Œ³n=n³
`buoch @n	ùbuoch	#n	^AS	~buoch	\bu\och	_IVú1úP_Bart-01ra,07{127}.01	ø	:	³b=b³u\o=uo³ch=ch³
`haben @swv-a	ùhaben	#swv-a	^3SGI	~hƒt	\hat	_IVú1úP_Bart-01ra,07{127}.02	ø	:	³h=h³a=ƒ³t=t³
`schrŒben @stv1a	ùschrŒben	#stv1a pV	^-	~ge-schriben	\ge$chriben .(.)	_IVú1úP_Bart-01ra,07{127}.03	ø	:	³g=g³e=e³=-³sch=sch³r=r³i=i³b=b³e=e³n=n³
`sw‰r @pron	ùsw‰r	#pron	^NSm	~sw‰r	\Sw '	_IVú1úP_Bart-01ra,07{127}.04	ø	:	³s=s³w=w³'=‰r³
`d‰r @art	ùd‰r	#art	^ASm	~d‰n	\d e\-	_IVú1úP_Bart-01ra,07{127}.05	ø	:	³d=d³e=‰³\-=n³
