`ge-walt @mf<u>	ùge-walt	#f<u>	^DS	~ge-walt	\gewalt	_Vú5úP_BeEv-001r,08{001}.06	ø	:	³g=g³e=e³=-³w=w³a=a³l=l³t=t³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,08{001}.07	ø	:	³v=u³n=n³d=t³e=e³
`hˆr-schaft @f<u>	ùhˆr-schaft	#f<u>	^DS	~hˆr-schaft	\her=$chaft.(.)	_Vú5úP_BeEv-001r,08{001}.08@	ø	:	³h=h³e=ˆ³r=r³=-³sch=sch³a=a³f=f³t=t³
`s“ @adv/konj	ùs“	#konj	^	~s“	\$o	_Vú5úP_BeEv-001r,09{001}.01	ø	:	³s=s³o=“³
`dise @pron	ùdise	#pron	^NPn	~dise	\de$ e	_Vú5úP_BeEv-001r,09{001}.02	ø	:	³d=d³e=i³s=s³e=e³
`ding @n	ùding	#n	^NP	~ding	\d¡nk	_Vú5úP_BeEv-001r,09{001}.03	ø	:	³d=d³i=i³n=n³k=g³
`be-ginnen @anv	ùbe-ginnen	#anv	^3PG	~be-ginnen	\begynnen	_Vú5úP_BeEv-001r,09{001}.04	ø	:	³b=b³e=e³=-³g=g³y=i³nn=nn³e=e³n=n³
`ge-sch‰hen @stv5	ùge-sch‰hen	#stv5 i	^-	~ge-schˆ{‰he}n	\ge$chen.,,	_Vú5úP_BeEv-001r,09{001}.05	ø	:	³g=g³e=e³=-³sch=sch³e=ˆ{‰he}³n=n³
`s“ @adv/konj	ùs“	#adv	^	~s“	\$o	_Vú5úP_BeEv-001r,09{001}.06	ø	:	³s=s³o=“³
`s‰hen @stv5	ùs‰hen/umbe<.+	#stv5	^2PGB	~sˆ{‰he}t	\$et*2	_Vú5úP_BeEv-001r,09{001}.07	ø	:	³s=s³e=ˆ{‰he}³t=t³
`ir @pron	ùir	#pron	^AP©	~iuch	\uch	_Vú5úP_BeEv-001r,09{001}.08	ø	:	³u=iu³ch=ch³
`umbe @adv	ùumbe/<.+s‰hen	#adv	^	~umbe	\vm=me*1	_Vú5úP_BeEv-001r,09{001}.09@	ø	:	³v=u³m=m³m=b³e=e³
`unte @konj	ùunte	#konj	^	~unte	\vnde	_Vú5úP_BeEv-001r,10{001}.01	ø	:	³v=u³n=n³d=t³e=e³
`hŠben @stv6b	ùhŠben/–f<+	#stv6b	^2PGB	~hŠbet	\heb¡t*2	_Vú5úP_BeEv-001r,10{001}.02	ø	:	³h=h³e=Š³b=b³i=e³t=t³
`–f @adv	ù–f/<+hŠben	#adv	^	~–f	\uf*1	_Vú5úP_BeEv-001r,10{001}.03	ø	:	³u=–³f=f³
`iuwer @pron_poss	ùiuwer	#pron_poss	^0ASn	~iuwer	\vw¡r	_Vú5úP_BeEv-001r,10{001}.04	ø	:	³v=iu³w=w³i=e³r=r³
`houbet @n	ùhoubet	#n	^AS	~houbet	\houbit,,	_Vú5úP_BeEv-001r,10{001}.05	ø	:	³h=h³ou=ou³b=b³i=e³t=t³
`wante @konj	ùwante	#konj	^	~wŠn<te>	\wen	_Vú5úP_BeEv-001r,10{001}.06	ø	:	³w=w³e=Š³n=n³=te³
`ir @pron	ùir	#pron	^AP	~iuch	\uch	_Vú5úP_BeEv-001r,10{001}.07	ø	:	³u=iu³ch=ch³
`wŠcken @swv	ùwŠcken	#swv	^3SGI	~wŠcket	\weck¡t	_Vú5úP_BeEv-001r,10{001}.08@	ø	:/E[weckit: entspr. lat. "appropinquat"(!), vgl. Feudel]	³w=w³e=Š³ck=ck³i=e³t=t³
