+H
1) Allgemeine Informationen
ID	M352
Strukturschlssel
Texttitel	Mainzer Urkunden
Textkrzel
a) ReM	UMainz
b) MWB
c) MiGraKo-intern	V-4b-U_Mainz
Textbereich	Recht
Textsorte, spezifisch	Urkunden
Textart	U
Prim„re Referenz	[Handschrift]
Sekund„re Referenz
2) šberlieferungstr„ger
Aufbewahrungsort	Mainz, Stadtarchiv
Signatur
Handschriftencensus
3) Niederschrift
šberlieferungstyp	Handschrift
Blattangabe
Ausschnitt
Sprachstufe	mhd
nieder-, mittel-, oberdeutsch	mitteldeutsch
sprachlicher Groáraum	westmitteldeutsch
Sprachlandschaft	rheinfr„nkisch
Lokalisierung	Mainz
Zeit (Jahrhundert, Jahrhunderth„lfte)	14,1
Zeit (genauere Datierung)	1346-1350
Besonderheiten
4) Text/ šbersetzungsvorlage
Datierung_Text	1346-1350
Lokalisierung_Text	Mainz
Autor
Sprache des Autors	rheinfr„nkisch
šbersetzungsvorlage
Edition	"Die Urkunden des Stadtarchivs Mainz. Regesten von Richard Dertsch, Bd. 2: 1330 bis 1364, Mainz 1963, Nr. 1297 [=1], 1296 [=2], 1298 [=3], 1310 [=4], 1343 [=5], 1345 [=6], 1354 [=7],
1356 [=8], 1362 [=9], 1367 [=10], 1371 [=11], 1372 [=12], 1373 [=13], 1374 [=14], 1375 [=15], 1376 [=16], 1377 [=17], 1378 [=18], 1380 [=19], 1392 [=20], 1393 [=21], 1399 [=22], 1400 [=23], 1403 [=24], 1404 [=25], 1405 [=26], 1406 [=27], 1408 [=28], 1413 [=29], 1427 [=30]."
5) Korpus, Transkription, Annotation
Korpuszugeh”rigkeit	MiGraKo
Besonderheiten: Transkription
Besonderheiten: Annotation
6) Bearbeiter
Bearbeiter: Digitalisierung	(Bochum)
Bearbeiter: Kollationierung	(Bochum)
Bearbeiter: Pr„editierung	Elke Weber (Bonn)
Bearbeiter: Annotierung	Elke Weber (Bonn)
Bearbeiter: Korrektur	Britta Weimann, Elke Weber (Bonn)
05/16/16 16:45:57: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS.TXT) korrigiert!
05/16/16 16:52:47: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\FLEX\PRON\NUM\SEHS\HS_HS2.TXT) korrigiert!
12/14/17 15:46:46: Lemmabestand mit KRP-AEND (nderungsliste D:\MG\LAUT\V\FEHL_NEU.TXT) korrigiert!
07/31/18 16:14:49: Lemmabestand mit KRP-AEND (nderungsliste D:\TEMP\EN-DT.TXT) korrigiert!
08/31/18 11:47:13: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\BRIEF.TXT) korrigiert!
09/04/18 19:53:54: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\KORR\KOR_LST\KRP-AEND.NUL) korrigiert!
02/09/20 21:32:55: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\KORR_LST.TXT) korrigiert!
02/09/20 22:24:37: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\ABGLEICH\ER-KRZL.TXT) korrigiert!
04/22/20 18:43:32: Lemmabestand mit KRP-AEND (nderungsliste D:\PP\MUELLER\P_KORR-S.TXT) korrigiert!
@H
`ze @pr„p	ùze	#pr„p	^	~zuo	\zu\o	_Vú4búU_UMainz-01,02.02	ø	:	³z=z³u\o=uo³
`MŠgenze @ON	ùMŠgenze	#ON	^DS	~MŠi{ge}nzen	\Menzen.,)	_Vú4búU_UMainz-01,02.03	ø	:	*³m=m³e=Ši{ge}³n=n³z=z³e=e³n=n³
`ver-j‰hen @stv5	ùver-j‰hen	#stv5	^1PG	~ver-j‰hen	\v'iehen	_Vú4búU_UMainz-01,02.04	ø	:	³v=v³'=er³=-³i=j³e=‰³h=h³e=e³n=n³
`unte @konj	ùunte	#konj	^	~unt<e>	\vnd	_Vú4búU_UMainz-01,02.05	ø	:	³v=u³n=n³d=t³=e³
`be-kŠnnen @swv	ùbe-kŠnnen	#swv	^1PG	~be-kŠnnen	\bekennen	_Vú4búU_UMainz-01,02.06	ø	:	³b=b³e=e³=-³k=k³e=Š³nn=nn³e=e³n=n³
`wir @pron	ùwir	#pron	^AP©	~uns	\vns	_Vú4búU_UMainz-01,02.07	ø	:	³v=u³n=n³s=s³
`offen-lŒche @adv	ùoffen-lŒche	#adv	^	~offen-lŒch<e>	\offenlich	_Vú4búU_UMainz-01,02.08	ø	:	³o=o³ff=ff³e=e³n=n³=-³l=l³i=Œ³ch=ch³=e³
`ane @pr„p	ùane	#pr„p	^	~an<e>	\an	_Vú4búU_UMainz-01,02.09	ø	:	³a=a³n=n³=e³
`dise @pron	ùdise	#pron	^DSm	~disem	\d¡e$ em	_Vú4búU_UMainz-01,02.10	ø	:	³d=d³ie=i³s=s³e=e³m=m³
`gŠgen-wŠrtig @adj	ùgŠgen-wŠrtig	#adj	^DSmw	~gŠi{ge}n-wŠrtigen	\ge¡nw't¡g en	_Vú4búU_UMainz-01,02.11	ø	:	³g=g³ei=Ši{ge}³n=n³=-³w=w³'=Šr³t=t³i=i³g=g³e=e³n=n³
`briŠv @m	ùbriŠv	#m	^DS	~briŠve	\br¡efe.,,	_Vú4búU_UMainz-01,02.12	ø	:	³b=b³r=r³ie=iŠ³f=v³e=e³
`dazz @konj	ùdazz	#konj	^	~dazz	\Daz	_Vú4búU_UMainz-01,02.13	ø	:	³d=d³a=a³z=zz³
`in @pr„p	ùin	#pr„p	^	~in	\¡n	_Vú4búU_UMainz-01,02.14	ø	:	³i=i³n=n³
`d‰r @art	ùd‰r	#art	^DSn	~d‰m	\d em	_Vú4búU_UMainz-01,02.15	ø	:	³d=d³e=‰³m=m³
`jƒr @n	ùjƒr	#n	^DS	~jƒre	\Iare.,,(	_Vú4búU_UMainz-01,02.16	ø	:	³i=j³a=ƒ³r=r³e=e³
`all-s“ @adv/konj	ùall-s“	#konj	^	~all-s	\als	_Vú4búU_UMainz-01,02.17	ø	:	³a=a³l=ll³=-³s=s³
`man @pron_subst	ùman	#pron_subst	^NS	~man	\man	_Vú4búU_UMainz-01,02.18	ø	:	³m=m³a=a³n=n³
`zŠl(e)n @swv	ùzŠl(e)n	#swv	^3SV	~zalte	\zalte	_Vú4búU_UMainz-01,02.19	ø	:	³z=z³a=a³l=l³t=t³e=e³
`nƒh @pr„p	ùnƒh	#pr„p	^	~nƒh	\nach	_Vú4búU_UMainz-01,02.20	ø	:	³n=n³a=ƒ³ch=h³
`got @m	ùgot	#m	^GS	~got<e>s	\gotz	_Vú4búU_UMainz-01,02.21@	ø	:	³g=g³o=o³t=t³=e³z=s³
`ge-burt @f<u>	ùge-burt	#f<u>	^DS	~ge-brte	\gebu\orte.	_Vú4búU_UMainz-01,03.01	ø	:	³g=g³e=e³=-³b=b³u\o=³r=r³t=t³e=e³
`t–sent @num	ùt–sent	#num	^0APn	~t–sent	\Du\o$ent	_Vú4búU_UMainz-01,03.02	ø	:	³d=t³u\o=–³s=s³e=e³n=n³t=t³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\¡ar.	_Vú4búU_UMainz-01,03.03	ø	:	³i=j³a=ƒ³r=r³
`drŒ @num	ùdrŒ	#num	^APn	~driu	\Dru\e	_Vú4búU_UMainz-01,03.04	ø	:	³d=d³r=r³u\e=iu³
`hundert @num	ùhundert	#num	^0APn	~hundert	\Hu\ond¡rt	_Vú4búU_UMainz-01,03.05	ø	:	³h=h³u\o=u³n=n³d=d³i=e³r=r³t=t³
`jƒr @n	ùjƒr	#n	^AP	~jƒr	\iar	_Vú4búU_UMainz-01,03.06	ø	:	³i=j³a=ƒ³r=r³
`in @pr„p	ùin	#pr„p	^	~in	\in	_Vú4búU_UMainz-01,03.07	ø	:	³i=i³n=n³
`d‰r @art	ùd‰r	#art	^DSn	~d‰m	\d em	_Vú4búU_UMainz-01,03.08	ø	:	³d=d³e=‰³m=m³
`s‰hs @num	ùs‰hs	#num	^0DSn	~s‰hs	\Sehs	_Vú4búU_UMainz-01,03.09	ø	:	³s=s³e=‰³h=h³s=s³
`unte @konj	ùunte	#konj	^	~unt<e>	\vnd	_Vú4búU_UMainz-01,03.10	ø	:	³v=u³n=n³d=t³=e³
`viŠr-zigest @num	ùviŠr-zigest	#num	^DSn!	~viŠr-zig<e>stem	\v¡rz¡g$t em	_Vú4búU_UMainz-01,03.11	ø	:	³v=v³i=iŠ³r=r³=-³z=z³i=i³g=g³=e³s=s³t=t³e=e³m=m³
`jƒr @n	ùjƒr	#n	^DS	~jƒre	\iare	_Vú4búU_UMainz-01,03.12	ø	:	³i=j³a=ƒ³r=r³e=e³
`–f @pr„p	ù–f	#pr„p	^	~–f	\of	_Vú4búU_UMainz-01,03.13	ø	:	³o=–³f=f³
`d‰r @art	ùd‰r	#art	^ASf	~diŠ	\d ¡e	_Vú4búU_UMainz-01,03.14	ø	:	³d=d³ie=iŠ³
`mitte-woche @mf	ùmitte-woche	#f	^AS	~mitte-woche	\Mittewoche	_Vú4búU_UMainz-01,03.15	ø	:	³m=m³i=i³tt=tt³e=e³=-³w=w³o=o³ch=ch³e=e³
