`wŠllen @anv	ùwŠllen	#anv	^1PV(K)	~wolten	\Wolden	_IIIú4úV_RhTun-004{1r,03}.01	ø	:	³w=w³o=o³l=l³d=t³e=e³n=n³
`wir @pron	ùwir	#pron	^NP	~wir	\wir	_IIIú4úV_RhTun-004{1r,03}.02	ø	:	³w=w³i=i³r=r³
`mŠrken @swv	ùmŠrken	#swv i	^-	~mŠrken	\mer[ken]	_IIIú4úV_RhTun-004{1r,03}.03	ø	:	³m=m³e=Š³r=r³[k]=k³[e]=e³[n]=n³
`r‰hte @adv	ùr‰hte	#adv	^	~r‰hte	\rechte.	_IIIú4úV_RhTun-004{1r,04}.04@	ø	:	³r=r³e=‰³ch=h³t=t³e=e³
`unte @konj	ùunte	#konj	^	~unte	\Vnde	_IIIú4úV_RhTun-005{1r,04}.01	ø	:	³v=u³n=n³d=t³e=e³
`ver-n‰men @stv4	ùver-n‰men	#stv4 i	^-	~ver-n‰men	\uerneimen	_IIIú4úV_RhTun-005{1r,04}.02	ø	:/E[verneimen: {vernemen} LW]	³u=v³e=e³r=r³=-³n=n³ei=‰³m=m³e=e³n=n³
`d‰r @art	ùd‰r	#art	^GSf	~d‰r	\d er	_IIIú4úV_RhTun-005{1r,04}.03	ø	:	³d=d³e=‰³r=r³
`hŠilig @adj	ùhŠilig	#adj	^GSfw	~hŠiligen	\heilig en	_IIIú4úV_RhTun-005{1r,04}.04	ø	:	³h=h³ei=Ši³l=l³i=i³g=g³e=e³n=n³
`schrift @f	ùschrift	#f	^GS	~schrifte	\$rifte	_IIIú4úV_RhTun-005{1r,04}.05	ø	:	³s=sch³r=r³i=i³f=f³t=t³e=e³
`wort @n	ùwort	#n	^AP	~wort	\<wo>[rt.],,	_IIIú4úV_RhTun-005{1r,04}.06@	ø	:	³w=w³o=o³[r]=r³[t]=t³
`wir @pron	ùwir	#pron	^NP	~wir	\Wir	_IIIú4úV_RhTun-006{1r,05}.01	ø	:	³w=w³i=i³r=r³
`ne @partikel	ùne	#partikel	^	~ne	\ne	_IIIú4úV_RhTun-006{1r,05}.02	ø	:	³n=n³e=e³
`spr‰chen @stv4	ùspr‰chen	#stv4	^1PVK	~spr‘chen	\$prechin	_IIIú4úV_RhTun-006{1r,05}.03	ø	:	³s=s³p=p³r=r³e=‘³ch=ch³i=e³n=n³
`minner @adv comp	ùminner	#adv comp	^	~minner	\miner	_IIIú4úV_RhTun-006{1r,05}.04	ø	:/#[statt adv ('nicht so schlechte') adj ('nicht so viele schlechte')?]/E[miner: {minner} K]	³m=m³i=i³n=nn³e=e³r=r³
`bel @adj	ùbel	#adj	^0APn	~bel	\vbel 	_IIIú4úV_RhTun-006{1r,05}.05	ø	:	³v=³b=b³e=e³l=l³
`wort @n	ùwort	#n	^AP	~wort	\wort.(.)	_IIIú4úV_RhTun-006{1r,05}.06@	ø	:	³w=w³o=o³r=r³t=t³
`n– @adv/konj	ùn–	#adv	^	~n–	\Nu	_IIIú4úV_RhTun-007{1r,05}.01	ø	:	³n=n³u=–³
`sŒn @anv	ùsŒn	#anv	^3SGI	~ist	\i$t	_IIIú4úV_RhTun-007{1r,05}.02	ø	:	³i=i³s=s³t=t³
`d‰r @art	ùd‰r	#art	^NSf	~di	\d i	_IIIú4úV_RhTun-007{1r,05}.03	ø	:/E[di: {die} W]	³d=d³i=i³
